REG,PROV,CODAT,DESC,CESSUFFSC,CESSUFFSP,CESSUFFDI,CESSUFFAF,CESSUFFTOT,Anno
PIE,VC,F 43,Lavori di costruzione specializzati                         ,0,8,0,2,10,2023
PIE,VC,G   ,Commercio all'ingrosso e al dettaglio; riparazione di aut...,0,32,0,1,33,2023
PIE,VC,G 45,Commercio all'ingrosso e al dettaglio e riparazione di au...,0,3,0,0,3,2023
PIE,VC,G 46,Commercio all'ingrosso (escluso quello di autoveicoli e d...,0,5,0,0,5,2023
PIE,VC,G 47,Commercio al dettaglio (escluso quello di autoveicoli e d...,0,24,0,1,25,2023
PIE,VC,H   ,Trasporto e magazzinaggio                                   ,0,3,0,0,3,2023
PIE,VC,H 49,Trasporto terrestre e mediante condotte                     ,0,2,0,0,2,2023
PIE,VC,H 50,Trasporto marittimo e per vie d'acqua                       ,0,0,0,0,0,2023
PIE,VC,H 51,Trasporto aereo                                             ,0,0,0,0,0,2023
PIE,VC,H 52,Magazzinaggio e attività di supporto ai trasporti           ,0,1,0,0,1,2023
PIE,VC,H 53,Servizi postali e attività di corriere                      ,0,0,0,0,0,2023
PIE,VC,I   ,Attività dei servizi alloggio e ristorazione                ,0,20,0,0,20,2023
PIE,VC,I 55,Alloggio                                                    ,0,1,0,0,1,2023
PIE,VC,I 56,Attività dei servizi di ristorazione                        ,0,19,0,0,19,2023
PIE,VC,J   ,Servizi di informazione e comunicazione                     ,0,2,0,0,2,2023
PIE,VC,J 58,Attività editoriali                                         ,0,1,0,0,1,2023
PIE,VC,J 59,"Attività di produzione cinematografica, di video e di pro...",0,0,0,0,0,2023
PIE,VC,J 60,Attività di programmazione e trasmissione                   ,0,0,0,0,0,2023
PIE,VC,J 61,Telecomunicazioni                                           ,0,0,0,0,0,2023
PIE,VC,J 62,"Produzione di software, consulenza informatica e attività...",0,0,0,0,0,2023
PIE,VC,J 63,Attività dei servizi d'informazione e altri servizi infor...,0,1,0,0,1,2023
PIE,VC,K   ,Attività finanziarie e assicurative                         ,0,2,0,0,2,2023
PIE,VC,K 64,Attività di servizi finanziari (escluse le assicurazioni ...,0,1,0,0,1,2023
PIE,VC,K 65,"Assicurazioni, riassicurazioni e fondi pensione (escluse ...",0,0,0,0,0,2023
PIE,VC,K 66,Attività ausiliarie dei servizi finanziari e delle attivi...,0,1,0,0,1,2023
