Anno,Trimestre,Settore,Divisione,Regione,Provincia,Forma giuridica,Tipo ricerca,Registrate,Attive,Iscrizioni,Cessazioni non d ufficio,Saldo
2021,0,"M Attività professionali, scientifiche e tecniche",M 71 Attività degli studi di architettura e d'ingegneria; coll...,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,21,14,0,0,0
2021,0,F Costruzioni,F 42 Ingegneria civile,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,25,24,0,1,-1
2021,0,Q Sanità e assistenza sociale,Q 86 Assistenza sanitaria,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,26,17,0,0,0
2021,0,S Altre attività di servizi,S 96 Altre attività di servizi per la persona,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,629,622,34,25,9
2021,0,"M Attività professionali, scientifiche e tecniche",M 72 Ricerca scientifica e sviluppo,SARDEGNA,CAGLIARI,IMPRESE INDIVIDUALI,Totale imprese,5,5,0,0,0
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 82 Attività di supporto per le funzioni d'ufficio e altri se...,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,13,9,0,0,0
2021,0,F Costruzioni,F 41 Costruzione di edifici,SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,2402,1832,72,33,39
2021,0,C Attività manifatturiere,C 23 Fabbricazione di altri prodotti della lavorazione di miner..,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,116,111,8,5,3
2021,0,"A Agricoltura, silvicoltura pesca",A 02 Silvicoltura ed utilizzo di aree forestali,SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,21,15,0,0,0
2021,0,Q Sanità e assistenza sociale,Q 88 Assistenza sociale non residenziale,SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,14,10,0,0,0
2021,0,"M Attività professionali, scientifiche e tecniche",M 69 Attività legali e contabilità,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,1,1,0,0,0
